TARGET_DATASET,TARGET_TABLE,TARGET_FIELD,SOURCE_TABLE,SOURCE_FIELD,SOFT_RULE,Complexity,source
SolvvDataMart,VDIM_INSTRUMENT,STICHTAG,PIT_INSTRUMENT,STICHTAG,,0,
SolvvDataMart,VDIM_INSTRUMENT,TYP_SPEZIALFIN_B281,TSAT_INSTRUMENT,B281,,0,
SolvvDataMart,VDIM_INSTRUMENT,WKN_ISIN,TSAT_INSTRUMENT,C231,,0,
SolvvDataMart,VDIM_INSTRUMENT,rankDate,,"RANK() OVER (PARTITION BY PIT_INSTRUMENT.HK_HUB_INSTRUMENT, TSAT_INSTRUMENT.STICHTAG, TSAT_INSTRUMENT.CLUSTER ORDER BY PIT_INSTRUMENT.SNAPSHOT_DATE DESC)",,0,
SolvvDataMart,VDIM_INTERNATIONALE_ORGANISATION,HK_VDIM_INTERNATIONALE_ORGANISATION,HUB_INTERNATIONALE_ORGANISATION,HK_HUB_INTERNATIONALE_ORGANISATION,,0,
SolvvDataMart,VDIM_INTERNATIONALE_ORGANISATION,INTERNATIONALE_ORGANISATION,SAT_INTERNATIONALE_ORGANISATION,DESCRIPTION_DE,,0,
SolvvDataMart,VDIM_INTERNATIONALE_ORGANISATION,INTERNATIONALE_ORGANISATION_ID,HUB_INTERNATIONALE_ORGANISATION,BK_CODE,,0,
SolvvDataMart,VDIM_INTERNATIONALE_ORGANISATION,rankDate,,RANK() OVER (PARTITION BY SAT_INTERNATIONALE_ORGANISATION.HK_HUB_INTERNATIONALE_ORGANISATION ORDER BY SAT_INTERNATIONALE_ORGANISATION.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VDIM_KAEB_METHODE,HK_VDIM_KAEB_METHODE,HUB_KAEB_METHODE,HK_HUB_KAEB_METHODE,,0,
SolvvDataMart,VDIM_KAEB_METHODE,KAEB_METHODE,SAT_KAEB_METHODE,DESCRIPTION_DE,,0,
SolvvDataMart,VDIM_KAEB_METHODE,KAEB_METHODE_ID,HUB_KAEB_METHODE,BK_CODE,,0,
SolvvDataMart,VDIM_KAEB_METHODE,rankDate,,RANK() OVER (PARTITION BY SAT_KAEB_METHODE.HK_HUB_KAEB_METHODE ORDER BY SAT_KAEB_METHODE.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VDIM_LAENDERCODE,BESCHREIBUNG,SAT_LAENDERCODE_ISO_ALPHA_2,DESCRIPTION_DE,,0,
SolvvDataMart,VDIM_LAENDERCODE,BESCHREIBUNG_EN,SAT_LAENDERCODE_ISO_ALPHA_2,DESCRIPTION_EN,,0,
SolvvDataMart,VDIM_LAENDERCODE,HK_VDIM_LAENDERCODE,HUB_LAENDERCODE_ISO_ALPHA_2,HK_HUB_LAENDERCODE_ISO_ALPHA_2,,0,
SolvvDataMart,VDIM_LAENDERCODE,LAND,SAT_LAENDERCODE_ISO_ALPHA_2,CAPTION_DE,,0,
SolvvDataMart,VDIM_LAENDERCODE,LAND_EN,SAT_LAENDERCODE_ISO_ALPHA_2,CAPTION_EN,,0,
SolvvDataMart,VDIM_LAENDERCODE,LAND_ID,HUB_LAENDERCODE_ISO_ALPHA_2,BK_CODE,,0,
SolvvDataMart,VDIM_LAENDERCODE,rankDate,,RANK() OVER (PARTITION BY SAT_LAENDERCODE_ISO_ALPHA_2.HK_HUB_LAENDERCODE_ISO_ALPHA_2 ORDER BY SAT_LAENDERCODE_ISO_ALPHA_2.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VDIM_LOAN_TYPE,Bezeichnung_DE,TSAT_LOAN_TYPE,GER_TEXT_SHORT,,0,
SolvvDataMart,VDIM_LOAN_TYPE,Bezeichnung_EN,TSAT_LOAN_TYPE,ENG_TEXT_SHORT,,0,
SolvvDataMart,VDIM_LOAN_TYPE,HK_VDIM_LOAN_TYPE,PIT_LOAN_TYPE,HK_PIT_LOAN_TYPE,,0,
SolvvDataMart,VDIM_LOAN_TYPE,LOAN_TYPE_IND,PIT_LOAN_TYPE,BK_LOAN_TYPE_IND,,0,
SolvvDataMart,VDIM_LOAN_TYPE,STICHTAG,PIT_LOAN_TYPE,STICHTAG,,0,
SolvvDataMart,VDIM_MELDEEINHEIT,Firma,TSAT_FINANCIAL_INST,FI_FIRMA,,0,
SolvvDataMart,VDIM_MELDEEINHEIT,HK_VDIM_MELDEEINHEIT,PIT_FINANCIAL_INST,HK_PIT_FINANCIAL_INST,,0,
SolvvDataMart,VDIM_MELDEEINHEIT,Meldeeinheit,TSAT_FINANCIAL_INST,FI_FULLNAME,,0,
SolvvDataMart,VDIM_MELDEEINHEIT,Meldeeinheit_ID,HUB_FINANCIAL_INST,BK_F001,,0,
SolvvDataMart,VDIM_MELDEEINHEIT,Parent,TSAT_FINANCIAL_INST,F002,,0,
SolvvDataMart,VDIM_MELDEEINHEIT,STICHTAG,PIT_FINANCIAL_INST,STICHTAG,,0,
SolvvDataMart,VDIM_MELDEEINHEIT,rankDate,,"RANK() OVER (PARTITION BY PIT_FINANCIAL_INST.HK_HUB_FINANCIAL_INST, TSAT_FINANCIAL_INST.STICHTAG, TSAT_FINANCIAL_INST.CLUSTER ORDER BY PIT_FINANCIAL_INST.SNAPSHOT_DATE DESC)",,0,
SolvvDataMart,VDIM_PARTNER,Ausfallgrund,TSAT_PARTNER,CRI150,,0,
SolvvDataMart,VDIM_PARTNER,Branchenschluessel,TSAT_PARTNER,P045,,0,
SolvvDataMart,VDIM_PARTNER,Bundesbank_ID,TSAT_PARTNER,P020,,0,
SolvvDataMart,VDIM_PARTNER,GlobalPartyName,TSAT_PARTNER,P021,,0,
SolvvDataMart,VDIM_PARTNER,HK_VDIM_PARTNER,PIT_PARTNER,HK_PIT_PARTNER,,0,
SolvvDataMart,VDIM_PARTNER,J073,TSAT_PARTNER,J073,,0,
SolvvDataMart,VDIM_PARTNER,KMU_KNZ,TSAT_PARTNER,B015,,0,
SolvvDataMart,VDIM_PARTNER,KMU_Unterstuetzungsfaktor,TSAT_PARTNER,PER046,,0,
SolvvDataMart,VDIM_PARTNER,Kundenname,TSAT_PARTNER,P021,,0,
SolvvDataMart,VDIM_PARTNER,LEI_CODE,TSAT_PARTNER,B935,,0,
SolvvDataMart,VDIM_PARTNER,Land_ID_RL_Kontrahent,TSAT_PARTNER,CTY011,,0,
SolvvDataMart,VDIM_PARTNER,Land_ID_SL_Kontrahent,TSAT_PARTNER,CTY010,,0,
SolvvDataMart,VDIM_PARTNER,Partner_ID,HUB_PARTNER,BK_PARTNER_ID,,0,
SolvvDataMart,VDIM_PARTNER,STICHTAG,PIT_PARTNER,STICHTAG,,0,
SolvvDataMart,VDIM_PARTNER,rankDate,,"RANK() OVER (PARTITION BY PIT_PARTNER.HK_HUB_PARTNER, TSAT_PARTNER.STICHTAG, TSAT_PARTNER.CLUSTER ORDER BY PIT_PARTNER.SNAPSHOT_DATE DESC)",,0,
SolvvDataMart,VDIM_PORTFOLIO,Bezeichnung_DE,TSAT_PORTFOLIO,PDEFLNDE,,0,
SolvvDataMart,VDIM_PORTFOLIO,Bezeichnung_EN,TSAT_PORTFOLIO,PDEFLNEN,,0,
SolvvDataMart,VDIM_PORTFOLIO,Ebene,TSAT_PORTFOLIO,PDEFLEVL,,0,
SolvvDataMart,VDIM_PORTFOLIO,FU_Code,HUB_PORTFOLIO,BK_PDEFVBZ,,0,
SolvvDataMart,VDIM_PORTFOLIO,HK_VDIM_PORTFOLIO,PIT_PORTFOLIO,HK_PIT_PORTFOLIO,,0,
SolvvDataMart,VDIM_PORTFOLIO,Modul,TSAT_PORTFOLIO,PDEFBCBZ,,0,
SolvvDataMart,VDIM_PORTFOLIO,Parent,TSAT_PORTFOLIO,PDFUEVBZ,,0,
SolvvDataMart,VDIM_PORTFOLIO,STICHTAG,PIT_PORTFOLIO,STICHTAG,,0,
SolvvDataMart,VDIM_PORTFOLIO,rankDate,,"RANK() OVER (PARTITION BY PIT_PORTFOLIO.HK_HUB_PORTFOLIO, TSAT_PORTFOLIO.STICHTAG ORDER BY PIT_PORTFOLIO.SNAPSHOT_DATE DESC)",,0,
SolvvDataMart,VDIM_PORTFOLIO_EXT,Bezeichnung_DE,TSAT_PORTFOLIO_EXT,BEZEICHNUNG,,0,
SolvvDataMart,VDIM_PORTFOLIO_EXT,Bezeichnung_EN,TSAT_PORTFOLIO_EXT,DESCRIPTION,,0,
SolvvDataMart,VDIM_PORTFOLIO_EXT,Ebene,TSAT_PORTFOLIO_EXT,EBENE,,0,
SolvvDataMart,VDIM_PORTFOLIO_EXT,FU_Code,HUB_PORTFOLIO_EXT,BK_FUNCODE,,0,
SolvvDataMart,VDIM_PORTFOLIO_EXT,HK_VDIM_PORTFOLIO_EXT,PIT_PORTFOLIO_EXT,HK_PIT_PORTFOLIO_EXT,,0,
SolvvDataMart,VDIM_PORTFOLIO_EXT,Modul,TSAT_PORTFOLIO_EXT,MODUL,,0,
SolvvDataMart,VDIM_PORTFOLIO_EXT,Parent,TSAT_PORTFOLIO_EXT,PARENT,,0,
SolvvDataMart,VDIM_PORTFOLIO_EXT,STICHTAG,PIT_PORTFOLIO_EXT,STICHTAG,,0,
SolvvDataMart,VDIM_PORTFOLIO_EXT,Typ,TSAT_PORTFOLIO_EXT,TYP,,0,
SolvvDataMart,VDIM_PORTFOLIO_EXT,rankDate,,"RANK() OVER (PARTITION BY PIT_PORTFOLIO_EXT.HK_HUB_PORTFOLIO_EXT, TSAT_PORTFOLIO_EXT.STICHTAG ORDER BY PIT_PORTFOLIO_EXT.SNAPSHOT_DATE DESC)",,0,
SolvvDataMart,VDIM_PRIV_U_OEFF_UNTERNEHMEN,HK_VDIM_PRIV_U_OEFF_UNTERNEHMEN,HUB_PRIV_U_OEFF_UNTERNEHMEN,HK_HUB_PRIV_U_OEFF_UNTERNEHMEN,,0,
SolvvDataMart,VDIM_PRIV_U_OEFF_UNTERNEHMEN,PRIV_U_OEFF_UNTERNEHMEN,SAT_PRIV_U_OEFF_UNTERNEHMEN,DESCRIPTION_DE,,0,
SolvvDataMart,VDIM_PRIV_U_OEFF_UNTERNEHMEN,PRIV_U_OEFF_UNTERNEHMEN_ID,HUB_PRIV_U_OEFF_UNTERNEHMEN,BK_CODE,,0,
SolvvDataMart,VDIM_PRIV_U_OEFF_UNTERNEHMEN,rankDate,,RANK() OVER (PARTITION BY SAT_PRIV_U_OEFF_UNTERNEHMEN.HK_HUB_PRIV_U_OEFF_UNTERNEHMEN ORDER BY SAT_PRIV_U_OEFF_UNTERNEHMEN.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VDIM_PRODUCT_TYPE,Bezeichnung_DE,TSAT_PRODUCT_TYPE,GER_TEXT_SHORT,,0,
SolvvDataMart,VDIM_PRODUCT_TYPE,Bezeichnung_EN,TSAT_PRODUCT_TYPE,ENG_TEXT_SHORT,,0,
SolvvDataMart,VDIM_PRODUCT_TYPE,HK_VDIM_PRODUCT_TYPE,PIT_PRODUCT_TYPE,HK_PIT_PRODUCT_TYPE,,0,
SolvvDataMart,VDIM_PRODUCT_TYPE,PRODUCT_TYPE_CDB,PIT_PRODUCT_TYPE,BK_PRODUCT_TYPE_CDB,,0,
SolvvDataMart,VDIM_PRODUCT_TYPE,STICHTAG,PIT_PRODUCT_TYPE,STICHTAG,,0,
SolvvDataMart,VDIM_RATTYPE,HK_VDIM_RATTYPE,HUB_RATTYPE,HK_HUB_RATTYPE,,0,
SolvvDataMart,VDIM_RATTYPE,RATTYPE,SAT_RATTYPE,RATTYPE_BEZ_DE,,0,
SolvvDataMart,VDIM_RATTYPE,RATTYPE_EN,SAT_RATTYPE,RATTYPE_BEZ_EN,,0,
SolvvDataMart,VDIM_RATTYPE,RATTYPE_ID,HUB_RATTYPE,BK_RATTYPE_ID,,0,
SolvvDataMart,VDIM_RATTYPE,rankDate,,RANK() OVER (PARTITION BY SAT_RATTYPE.HK_HUB_RATTYPE ORDER BY SAT_RATTYPE.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VDIM_RISIKOKLASSE,HK_VDIM_RISIKOKLASSE,HUB_RISIKOKLASSE,HK_HUB_RISIKOKLASSE,,0,
SolvvDataMart,VDIM_RISIKOKLASSE,PD_Klasse,SAT_RISIKOKLASSE,PDKLASSE,,0,
SolvvDataMart,VDIM_RISIKOKLASSE,Qualitaet,SAT_RISIKOKLASSE,QUALITAET,,0,
SolvvDataMart,VDIM_RISIKOKLASSE,Risikoklasse,SAT_RISIKOKLASSE,RISKLASS_BEZ_DE,,0,
SolvvDataMart,VDIM_RISIKOKLASSE,Risikoklasse_EN,SAT_RISIKOKLASSE,RISKLASS_BEZ_EN,,0,
SolvvDataMart,VDIM_RISIKOKLASSE,Risikoklasse_ID,HUB_RISIKOKLASSE,BK_RISKLASS_ID,,0,
SolvvDataMart,VDIM_RISIKOKLASSE,rankDate,,RANK() OVER (PARTITION BY SAT_RISIKOKLASSE.HK_HUB_RISIKOKLASSE ORDER BY SAT_RISIKOKLASSE.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VDIM_RISIKOTRAEGER,HK_VDIM_RISIKOTRAEGER,HUB_RISIKOTRAEGER,HK_HUB_RISIKOTRAEGER,,0,
SolvvDataMart,VDIM_RISIKOTRAEGER,RISIKOTRAEGER,SAT_RISIKOTRAEGER,DESCRIPTION_DE,,0,
SolvvDataMart,VDIM_RISIKOTRAEGER,RISIKOTRAEGER_ID,HUB_RISIKOTRAEGER,BK_CODE,,0,
SolvvDataMart,VDIM_RISIKOTRAEGER,rankDate,,RANK() OVER (PARTITION BY SAT_RISIKOTRAEGER.HK_HUB_RISIKOTRAEGER ORDER BY SAT_RISIKOTRAEGER.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VDIM_RISIKOTYP,HK_VDIM_RISIKOTYP,HUB_RISIKOTYP,HK_HUB_RISIKOTYP,,0,
SolvvDataMart,VDIM_RISIKOTYP,Risikotyp,SAT_RISIKOTYP,RISKTYP_BEZ_DE,,0,
SolvvDataMart,VDIM_RISIKOTYP,Risikotyp_EN,SAT_RISIKOTYP,RISKTYP_BEZ_EN,,0,
SolvvDataMart,VDIM_RISIKOTYP,Risikotyp_Gruppe,SAT_RISIKOTYP,RISKTYPGRP_BEZ_DE,,0,
SolvvDataMart,VDIM_RISIKOTYP,Risikotyp_Gruppe_EN,SAT_RISIKOTYP,RISKTYPGRP_BEZ_EN,,0,
SolvvDataMart,VDIM_RISIKOTYP,Risikotyp_ID,HUB_RISIKOTYP,BK_RISKTYP_ID,,0,
SolvvDataMart,VDIM_RISIKOTYP,rankDate,,RANK() OVER (PARTITION BY SAT_RISIKOTYP.HK_HUB_RISIKOTYP ORDER BY SAT_RISIKOTYP.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VDIM_SICHERHEITENART,HK_VDIM_SICHERHEITENART,HUB_SICHERHEITENART,HK_HUB_SICHERHEITENART,,0,
SolvvDataMart,VDIM_SICHERHEITENART,SICHERHEITENART,SAT_SICHERHEITENART,DESCRIPTION_DE,,0,
SolvvDataMart,VDIM_SICHERHEITENART,SICHERHEITENART_ID,HUB_SICHERHEITENART,BK_CODE,,0,
SolvvDataMart,VDIM_SICHERHEITENART,rankDate,,RANK() OVER (PARTITION BY SAT_SICHERHEITENART.HK_HUB_SICHERHEITENART ORDER BY SAT_SICHERHEITENART.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VDIM_TRANSAKTIONSKLASSE,HK_VDIM_TRANSAKTIONSKLASSE,HUB_TRANSAKTIONSKLASSE,HK_HUB_TRANSAKTIONSKLASSE,,0,
SolvvDataMart,VDIM_TRANSAKTIONSKLASSE,Transaktionsklasse,SAT_TRANSAKTIONSKLASSE,TXNKLASS_BEZ_DE,,0,
SolvvDataMart,VDIM_TRANSAKTIONSKLASSE,Transaktionsklasse_EN,SAT_TRANSAKTIONSKLASSE,TXNKLASS_BEZ_EN,,0,
SolvvDataMart,VDIM_TRANSAKTIONSKLASSE,Transaktionsklasse_Gruppe,SAT_TRANSAKTIONSKLASSE,TXNKLASSGRP_DE,,0,
SolvvDataMart,VDIM_TRANSAKTIONSKLASSE,Transaktionsklasse_Gruppe_EN,SAT_TRANSAKTIONSKLASSE,TXNKLASSGRP_EN,,0,
SolvvDataMart,VDIM_TRANSAKTIONSKLASSE,Transaktionsklasse_ID,HUB_TRANSAKTIONSKLASSE,BK_TXNKLASS_ID,,0,
SolvvDataMart,VDIM_TRANSAKTIONSKLASSE,rankDate,,RANK() OVER (PARTITION BY SAT_TRANSAKTIONSKLASSE.HK_HUB_TRANSAKTIONSKLASSE ORDER BY SAT_TRANSAKTIONSKLASSE.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VDIM_TRANSPARENZMETHODE_INVESTMENTANTEILE,HK_VDIM_TRANSPARENZMETHODE_INVESTMENTANTEILE,HUB_TRANSPARENZMETHODE_INVESTMENTANTEILE,HK_HUB_TRANSPARENZMETHODE_INVESTMENTANTEILE,,0,
SolvvDataMart,VDIM_TRANSPARENZMETHODE_INVESTMENTANTEILE,TRANSPARENZMETHODE_INVESTMENTANTEILE,SAT_TRANSPARENZMETHODE_INVESTMENTANTEILE,DESCRIPTION_DE,,0,
SolvvDataMart,VDIM_TRANSPARENZMETHODE_INVESTMENTANTEILE,TRANSPARENZMETHODE_INVESTMENTANTEILE_ID,HUB_TRANSPARENZMETHODE_INVESTMENTANTEILE,BK_CODE,,0,
SolvvDataMart,VDIM_TRANSPARENZMETHODE_INVESTMENTANTEILE,rankDate,,RANK() OVER (PARTITION BY SAT_TRANSPARENZMETHODE_INVESTMENTANTEILE.HK_HUB_TRANSPARENZMETHODE_INVESTMENTANTEILE ORDER BY SAT_TRANSPARENZMETHODE_INVESTMENTANTEILE.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VDIM_WERTPAPIERFIRMA,HK_VDIM_WERTPAPIERFIRMA,HUB_WERTPAPIERFIRMA,HK_HUB_WERTPAPIERFIRMA,,0,
SolvvDataMart,VDIM_WERTPAPIERFIRMA,WERTPAPIERFIRMA,SAT_WERTPAPIERFIRMA,DESCRIPTION_DE,,0,
SolvvDataMart,VDIM_WERTPAPIERFIRMA,WERTPAPIERFIRMA_ID,HUB_WERTPAPIERFIRMA,BK_CODE,,0,
SolvvDataMart,VDIM_WERTPAPIERFIRMA,rankDate,,RANK() OVER (PARTITION BY SAT_WERTPAPIERFIRMA.HK_HUB_WERTPAPIERFIRMA ORDER BY SAT_WERTPAPIERFIRMA.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VDIM_WIRTSCHAFTSZWEIGKLASSIFIKATION_I,HK_VDIM_WIRTSCHAFTSZWEIGKLASSIFIKATION_I,HUB_WIRTSCHAFTSZWEIGKLASSIFIKATION_I,HK_HUB_WIRTSCHAFTSZWEIGKLASSIFIKATION_I,,0,
SolvvDataMart,VDIM_WIRTSCHAFTSZWEIGKLASSIFIKATION_I,WIRTSCHAFTSZWEIGKLASSIFIKATION_I,SAT_WIRTSCHAFTSZWEIGKLASSIFIKATION_I,DESCRIPTION_DE,,0,
SolvvDataMart,VDIM_WIRTSCHAFTSZWEIGKLASSIFIKATION_I,WIRTSCHAFTSZWEIGKLASSIFIKATION_I_ID,HUB_WIRTSCHAFTSZWEIGKLASSIFIKATION_I,BK_CODE,,0,
SolvvDataMart,VDIM_WIRTSCHAFTSZWEIGKLASSIFIKATION_I,rankDate,,RANK() OVER (PARTITION BY SAT_WIRTSCHAFTSZWEIGKLASSIFIKATION_I.HK_HUB_WIRTSCHAFTSZWEIGKLASSIFIKATION_I ORDER BY SAT_WIRTSCHAFTSZWEIGKLASSIFIKATION_I.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VDIM_WIRTSCHAFTSZWEIGKLASSIFIKATION_II,HK_VDIM_WIRTSCHAFTSZWEIGKLASSIFIKATION_II,HUB_WIRTSCHAFTSZWEIGKLASSIFIKATION_II,HK_HUB_WIRTSCHAFTSZWEIGKLASSIFIKATION_II,,0,
SolvvDataMart,VDIM_WIRTSCHAFTSZWEIGKLASSIFIKATION_II,WIRTSCHAFTSZWEIGKLASSIFIKATION_II,SAT_WIRTSCHAFTSZWEIGKLASSIFIKATION_II,DESCRIPTION_DE,,0,
SolvvDataMart,VDIM_WIRTSCHAFTSZWEIGKLASSIFIKATION_II,WIRTSCHAFTSZWEIGKLASSIFIKATION_II_ID,HUB_WIRTSCHAFTSZWEIGKLASSIFIKATION_II,BK_CODE,,0,
SolvvDataMart,VDIM_WIRTSCHAFTSZWEIGKLASSIFIKATION_II,rankDate,,RANK() OVER (PARTITION BY SAT_WIRTSCHAFTSZWEIGKLASSIFIKATION_II.HK_HUB_WIRTSCHAFTSZWEIGKLASSIFIKATION_II ORDER BY SAT_WIRTSCHAFTSZWEIGKLASSIFIKATION_II.REC_LOAD_DATE DESC),,0,
SolvvDataMart,VFCT_GESCHAEFT,ABRECHNUNGSPREIS_C236,TSAT_POSITION,C236,,0,
SolvvDataMart,VFCT_GESCHAEFT,ABS_FAKTOR_IA,BRG_GESCHAEFT,ABS_FAKTOR,,0,
SolvvDataMart,VFCT_GESCHAEFT,ABS_ROLLE_SEC191,TSAT_POSITION,SEC191,,0,
SolvvDataMart,VFCT_GESCHAEFT,AGREEMENT_ID,,cast(null as STRING),,0,
SolvvDataMart,VFCT_GESCHAEFT,ANTEIL_ZINSEN_C223,TSAT_POSITION,C223,,0,
SolvvDataMart,VFCT_GESCHAEFT,AT_HB_RISIKO_C235,TSAT_POSITION,C235,,0,
SolvvDataMart,VFCT_GESCHAEFT,AUFSCHLAG_FXRISIKO_CRE362,TSAT_POSITION,CRE362,,0,
SolvvDataMart,VFCT_GESCHAEFT,AUFSCHLAG_ZINSRISIKO_CRE361,TSAT_POSITION,CRE361,,0,
SolvvDataMart,VFCT_GESCHAEFT,AUSNAHME_ABDECKUNGSGRAD_B052,TSAT_POSITION,B052,,0,
SolvvDataMart,VFCT_GESCHAEFT,AVAS_B269,BRG_GESCHAEFT,AVAS_B269,,0,
SolvvDataMart,VFCT_GESCHAEFT,B601,TSAT_POSITION,B601,,0,
SolvvDataMart,VFCT_GESCHAEFT,B603,TSAT_POSITION,B603,,0,
SolvvDataMart,VFCT_GESCHAEFT,BEITRAG_AUSFALLFONDS,BRG_GESCHAEFT,BEITRAG_AUSFALLFONDS,,0,
SolvvDataMart,VFCT_GESCHAEFT,BETRAG_CVA_B148,TSAT_POSITION,B148,,0,
SolvvDataMart,VFCT_GESCHAEFT,BETRAG_NPE_VAD280,TSAT_POSITION,VAD280,,0,
SolvvDataMart,VFCT_GESCHAEFT,BETRAG_SCRA_VAD620,BRG_GESCHAEFT,BETRAG_SCRA_VAD620,,0,
SolvvDataMart,VFCT_GESCHAEFT,BEWERTUNGSANSATZ_ABS_SEC502,TSAT_POSITION,SEC502,,0,
SolvvDataMart,VFCT_GESCHAEFT,BEWERTUNG_EG_VAD270,BRG_GESCHAEFT,BEWERTUNG_EG_VAD270,,0,
SolvvDataMart,VFCT_GESCHAEFT,BMG_NACH_CRM,BRG_GESCHAEFT,BMG_NACH_CRM,,0,
SolvvDataMart,VFCT_GESCHAEFT,BMG_NACH_EWB,BRG_GESCHAEFT,BMG_NACH_EWB,,0,
SolvvDataMart,VFCT_GESCHAEFT,BMG_NACH_SUBSTITUTION,BRG_GESCHAEFT,BMG_NACH_SUBSTITUTION,,0,
SolvvDataMart,VFCT_GESCHAEFT,BMG_VOR_CRM,BRG_GESCHAEFT,BMG_VOR_CRM,,0,
SolvvDataMart,VFCT_GESCHAEFT,BONITAETSSTUFE_B825,TSAT_POSITION,B825,,0,
SolvvDataMart,VFCT_GESCHAEFT,BUCHWERT_C215,TSAT_POSITION,C215,,0,
SolvvDataMart,VFCT_GESCHAEFT,CCF,BRG_GESCHAEFT,CCF,,0,
SolvvDataMart,VFCT_GESCHAEFT,CCF_KSA,BRG_GESCHAEFT,CCF_KSA,,0,
SolvvDataMart,VFCT_GESCHAEFT,CCF_LR,BRG_GESCHAEFT,CCF_LR,,0,
SolvvDataMart,VFCT_GESCHAEFT,CET1_ABZUGSBETRAG_VAD379,TSAT_POSITION,VAD379,,0,
SolvvDataMart,VFCT_GESCHAEFT,CLUSTER,BRG_GESCHAEFT,CLUSTER,,0,
SolvvDataMart,VFCT_GESCHAEFT,CNT_DEAL_NR_NUM702,TSAT_POSITION,NUM702,,0,
SolvvDataMart,VFCT_GESCHAEFT,COLL_ID,,cast(null as STRING),,0,
SolvvDataMart,VFCT_GESCHAEFT,CONTRACT,BRG_GESCHAEFT,CONTRACT,,0,
SolvvDataMart,VFCT_GESCHAEFT,CRE016,TSAT_POSITION,CRE016,,0,
SolvvDataMart,VFCT_GESCHAEFT,CRI166,TSAT_POSITION,CRI166,,0,
SolvvDataMart,VFCT_GESCHAEFT,CRI167,TSAT_POSITION,CRI167,,0,
SolvvDataMart,VFCT_GESCHAEFT,CRI168,TSAT_POSITION,CRI168,,0,
SolvvDataMart,VFCT_GESCHAEFT,CRI301,TSAT_POSITION,CRI301,,0,
SolvvDataMart,VFCT_GESCHAEFT,CRI302,TSAT_POSITION,CRI302,,0,
SolvvDataMart,VFCT_GESCHAEFT,CVARCC_AVG_B704,TSAT_POSITION,B704,,0,
SolvvDataMart,VFCT_GESCHAEFT,CVARCC_AVG_STRESSED_B706,TSAT_POSITION,B706,,0,
SolvvDataMart,VFCT_GESCHAEFT,CVARCC_B705,TSAT_POSITION,B705,,0,
SolvvDataMart,VFCT_GESCHAEFT,CVARCC_STRESSED_B707,TSAT_POSITION,B707,,0,
SolvvDataMart,VFCT_GESCHAEFT,CVA_METHODE,BRG_GESCHAEFT,CVA_METHODE,,0,
SolvvDataMart,VFCT_GESCHAEFT,D2_ABSCHREIBUNGEN_C265,BRG_GESCHAEFT,D2_ABSCHREIBUNGEN_C265,,0,
SolvvDataMart,VFCT_GESCHAEFT,DATUM_AUSFALLS_B436,TSAT_POSITION,B436,,0,
SolvvDataMart,VFCT_GESCHAEFT,DATUM_VERZUGS_B201,TSAT_POSITION,B201,,0,
SolvvDataMart,VFCT_GESCHAEFT,DEAL_ID,BRG_GESCHAEFT,BK_POSITION_ID,,0,
SolvvDataMart,VFCT_GESCHAEFT,DELISYST,BRG_GESCHAEFT,DELISYST,,0,
SolvvDataMart,VFCT_GESCHAEFT,DEPOTNUMMER,BRG_GESCHAEFT,DEPOSIT_ID,,0,
SolvvDataMart,VFCT_GESCHAEFT,EFFEKTIVE_LAUFZEIT_B217,TSAT_POSITION,B217,,0,
SolvvDataMart,VFCT_GESCHAEFT,EK,BRG_GESCHAEFT,EK,,0,
SolvvDataMart,VFCT_GESCHAEFT,EL,BRG_GESCHAEFT,EL,,0,
SolvvDataMart,VFCT_GESCHAEFT,EWB,BRG_GESCHAEFT,EWB,,0,
SolvvDataMart,VFCT_GESCHAEFT,EXC201,TSAT_POSITION,EXC201,,0,
SolvvDataMart,VFCT_GESCHAEFT,EXT_RATING_B002,TSAT_POSITION,B002,,0,
SolvvDataMart,VFCT_GESCHAEFT,FORDERUNGSTYP,BRG_GESCHAEFT,FORDERUNGSTYP_B618,,0,
SolvvDataMart,VFCT_GESCHAEFT,GESNRGEN,BRG_GESCHAEFT,GESNRGEN,,0,
SolvvDataMart,VFCT_GESCHAEFT,HEDGING_ID_FXRISIKO_IDN362,TSAT_POSITION,IDN362,,0,
SolvvDataMart,VFCT_GESCHAEFT,HEDGING_ID_ZINSRISKO_IDN361,TSAT_POSITION,IDN361,,0,
SolvvDataMart,VFCT_GESCHAEFT,HK_VDIM_BOGEN,BRG_GESCHAEFT,HK_HUB_BOGEN,,0,
SolvvDataMart,VFCT_GESCHAEFT,HK_VDIM_BOGEN_LR,BRG_GESCHAEFT,HK_HUB_BOGEN_LR,,0,
